"sep=,"
"S","I","R"
"999.0","1.0","0.0"
"994.8858637288859","3.4575365979980273","1.6565996731161208"
"980.8407586863023","11.846756316128952","7.312484997568797"
"934.745786868504","39.37407470811707","25.880138423378973"
"801.3137206193994","119.0023587261524","79.68392065444819"
"525.8240989618905","282.99363130822667","191.18226972988282"
"225.8745051757399","459.86597568455664","314.25951913970346"
"69.1491184944372","548.8678988631283","381.98298264243454"
"18.454581939606005","573.2771712606398","408.2682467997542"
"4.779288884092219","575.2077340526839","420.01297706322384"
"1.2422997240306977","571.0341841797912","427.72351609617806"
"0.3270011388238972","565.3333001526048","434.3396987085713"
"0.08735006258217504","559.2894247344842","440.62322520293367"
"0.02368903352159283","553.2061064997539","446.7702044667246"
"0.006522110068642259","547.161474721481","452.8320031684504"
"0.0018227319311637674","541.1755219062043","458.8226553618646"
"5.16983200197066E-4","535.2530501525565","464.74643286424333"
"1.4878926329542656E-4","529.3948382946323","470.60501291610444"
"4.344411710507104E-5","523.6005878208931","476.3993687349898"
"1.286702212055444E-5","517.8697115119002","482.1302756210777"
"3.8648909072069354E-6","512.2015476428367","487.7984484922724"
"1.1771558905587578E-6","506.5954189720615","493.40457985078257"
"3.634918629553982E-7","501.0506491783092","498.9493504581989"
"1.1377498540354457E-7","495.56656746464114","504.4334324215838"
"3.6092639690579376E-8","490.14250982517456","509.8574901387327"
"1.1602180090592035E-8","484.77781935783906","515.2221806305586"
"3.778678436955413E-9","479.4718463010743","520.5281536951468"
"1.2466681079477573E-9","474.223947989978","525.7760520087752"
"4.1658580019513833E-10","469.03348878904933","530.966511210534"
"1.40972301428627E-10","463.89984001845744","536.1001599814015"
